zip_code,violation_type,offense,item_name,animal_id
80220,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A093477
80211,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173886
80204,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173571
80210,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A025158
80205,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173721
80205,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A173721
80205,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A173721
80232,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173893
80232,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173895
80239,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173495
80239,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173495
80239,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A173495
80239,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A173495
80010,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173896
80010,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A173896
80010,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173896
80010,ADMIN,8-61 COMP,LICENSE REQ - COMP,A173896
80010,ADMIN,8-32 COMP,FAILURE TO VAC -COMP,A173896
80210,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A105148
80210,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A105148
80210,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A105148
80209,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A118316
80212,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173935
80211,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173936
80207,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173937
80220,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A169438
80220,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A172307
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173938
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A137903
80219,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A137903
80219,ADMIN,8-36 (1ST),FAILURE TO DISPLAY VACC,A137903
80219,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A137903
80219,ADMIN,8-63 (1ST),FAILURE TO DISPLAY LICENSE,A137903
80123,ADMIN,8-17 (1ST),INTERFER - 1ST,A173939
80123,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A173939
80123,ADMIN,8-61 COMP,LICENSE REQ - COMP,A173939
80211,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173940
80211,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A173940
80211,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173941
80211,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173941
80211,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A173941
80211,ADMIN,8-32 RSCND,FAILTOVAC-RESCISSION,A173941
80210,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173942
80218,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A054028
80113,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173943
80210,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A147930
80210,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173945
80210,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A122998
80212,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A026496
80210,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173946
80210,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173947
80210,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173948
80211,ADMIN,8-16 (3RD),LEASH LAW - 3RD,A166442
80211,ADMIN,8-16 (3RD),LEASH LAW - 3RD,A166441
80211,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A166442
80211,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A166441
80221,ADMIN,8-70/71 COMP,SPAY / NEUTER - COMP,A164349
80221,ADMIN,8-61 COMP,LICENSE REQ - COMP,A173950
80221,ADMIN,8-70/71 RSCND,SPAY/NEUT-RESCISSION,A173950
80221,ADMIN,8-32 COMP,FAILURE TO VAC -COMP,A164349
80221,ADMIN,8-32 COMP,FAILURE TO VAC -COMP,A173950
80221,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A164349
80221,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173950
80221,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A164349
80221,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A173950
80221,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A173950
80221,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A164349
80221,ADMIN,8-61 COMP,LICENSE REQ - COMP,A164349
80219,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173543
80219,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173733
80219,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A173733
80219,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A173733
80216,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173795
80216,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A173795
80220,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173791
80220,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173791
80220,ADMIN,8-32 COMP,FAILURE TO VAC -COMP,A173791
80204,ADMIN,8-70/71 COMP,SPAY / NEUTER - COMP,A173757
80204,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A173757
80219,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A173545
80219,ADMIN,8-70/71 RSCND,SPAY/NEUT-RESCISSION,A173545
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173545
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174058
80219,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174058
80219,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174058
80219,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174058
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A137922
80219,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A137922
80219,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A137922
80219,ADMIN,8-32 COMP,FAILURE TO VAC -COMP,A137922
80219,ADMIN,8-61 COMP,LICENSE REQ - COMP,A137922
80221,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174124
80220,ADMIN,8-32 (2ND),FAILURE TO VAC - 2ND,A172015
80220,ADMIN,8-70/71 (2ND),SPAY / NEUTER - 2ND,A172015
80216,CITATION,8-55,PIT BULLS PRO,A173415
80216,CITATION,8-16,LEASH LAW,A174163
80216,CITATION,8-51,ATTACK/ BITE,A174163
80216,CITATION,8-16,LEASH LAW,A174164
80216,CITATION,8-51,ATTACK/ BITE,A174164
80216,CITATION,8-16,LEASH LAW,A174165
80216,CITATION,8-51,ATTACK/ BITE,A174165
80249,CITATION,8-51,ATTACK/ BITE,A173867
80210,CITATION,8-51,ATTACK/ BITE,A174166
80222,CITATION,8-16,LEASH LAW,A139099
80222,CITATION,8-51,ATTACK/ BITE,A139099
80211,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A138616
80211,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A138616
80211,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A138616
80211,ADMIN,8-61 RSCND,LIC REQ - RESCISSION,A138616
80211,ADMIN,8-32 COMP,FAILURE TO VAC -COMP,A138616
80216,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174278
80216,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174278
80216,ADMIN,8-61 COMP,LICENSE REQ - COMP,A174278
80220,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174300
80206,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A156679
80206,ADMIN,8-17 (1ST),INTERFER - 1ST,A156679
80206,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A156679
80206,ADMIN,8-32 RSCND,FAILTOVAC-RESCISSION,A156679
80249,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174306
80249,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174306
80249,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174306
80249,ADMIN,8-32 COMP,FAILURE TO VAC -COMP,A174306
80210,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A127525
80210,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A088788
80210,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A127525
80210,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A088788
80210,ADMIN,8-32 RSCND,FAILTOVAC-RESCISSION,A127525
80210,ADMIN,8-32 RSCND,FAILTOVAC-RESCISSION,A088788
80216,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174333
80220,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174359
80220,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174361
80220,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174362
80220,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174363
80220,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174364
80220,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174359
80220,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174361
80220,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174362
80220,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174363
80220,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174364
80205,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174320
80205,ADMIN,8-61 COMP,LICENSE REQ - COMP,A174320
80210,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A073106
80210,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A073106
80210,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A073106
80210,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A073106
80210,ADMIN,8-70/71 RSCND,SPAY/NEUT-RESCISSION,A073106
80210,ADMIN,8-61 COMP,LICENSE REQ - COMP,A073106
80210,ADMIN,8-32 RSCND,FAILTOVAC-RESCISSION,A073106
80220,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A040414
80206,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A060759
80220,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A134742
80206,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174365
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A132280
80227,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174366
80227,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174366
80210,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A132286
80211,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174368
80205,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174381
80210,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174229
80210,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174229
80210,ADMIN,8-61 COMP,LICENSE REQ - COMP,A174229
80210,ADMIN,8-70/71 COMP,SPAY / NEUTER - COMP,A174229
80216,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A173796
80216,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174384
80210,ADMIN,8-61 COMP,LICENSE REQ - COMP,A174382
80210,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174382
80210,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174382
80216,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174386
80216,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174386
80216,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174386
80216,ADMIN,8-70/71 COMP,SPAY / NEUTER - COMP,A174386
80216,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174163
80216,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174164
80216,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174165
80216,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A164416
80216,ADMIN,8-36 (1ST),FAILURE TO DISPLAY VACC,A164416
80216,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174163
80216,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A133749
80216,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A133749
80216,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A133749
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174390
80206,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A145545
80204,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174396
80231,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A094231
80206,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A119811
80231,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174428
80231,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174428
80231,ADMIN,8-32 RSCND,FAILTOVAC-RESCISSION,A174428
80231,ADMIN,8-61 COMP,LICENSE REQ - COMP,A174428
80203,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A138049
80223,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A173756
80220,ADMIN,8-47 (1ST),EXCREMENT - 1ST,A156796
80218,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174495
80206,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A087498
80227,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173689
80227,ADMIN,8-32 COMP,FAILURE TO VAC -COMP,A173689
80204,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173922
80211,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173797
80211,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A173797
80211,ADMIN,8-32 COMP,FAILURE TO VAC -COMP,A173797
80211,ADMIN,8-70/71 COMP,SPAY / NEUTER - COMP,A173797
80249,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A133691
80249,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A133691
80219,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174282
80219,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174282
80219,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174282
80210,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174621
80204,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A124859
80204,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A124859
80223,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174357
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174358
80219,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174358
80219,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174358
80249,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174208
80249,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174208
80249,ADMIN,8-70/71 COMP,SPAY / NEUTER - COMP,A174208
80249,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173788
80249,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A173788
80206,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174175
80206,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174174
80206,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174174
80204,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A173702
80204,ADMIN,8-32 RSCND,FAILTOVAC-RESCISSION,A173702
80223,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174159
80220,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174648
80209,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A082850
80207,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A130671
80209,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A139957
80209,ADMIN,8-16 (2ND),LEASH LAW - 2ND,A139957
80209,ADMIN,8-32 RSCND,FAILTOVAC-RESCISSION,A139957
80219,ADMIN,8-70/71 RSCND,SPAY/NEUT-RESCISSION,A174270
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174270
80219,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174270
80219,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174270
80214,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174651
80210,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A154576
80014,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174653
80231,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A051071
80214,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A121032
80239,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A171860
80205,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A106262
80203,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174668
80203,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174668
80230,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174669
80223,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174672
80223,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174672
80223,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174672
80223,ADMIN,8-32 RSCND,FAILTOVAC-RESCISSION,
80223,ADMIN,8-61 COMP,LICENSE REQ - COMP,
80211,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A107723
80211,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A107723
80211,ADMIN,8-61 RSCND,LIC REQ - RESCISSION,A107723
80220,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174676
80220,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174677
80220,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174679
80220,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174676
80220,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174677
80220,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174679
80220,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174676
80220,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174677
80220,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174679
80239,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174681
80239,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174681
80239,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174681
80249,ADMIN,8-32 COMP,FAILURE TO VAC -COMP,A174682
80249,ADMIN,8-32 COMP,FAILURE TO VAC -COMP,A174683
80249,ADMIN,8-70/71 COMP,SPAY / NEUTER - COMP,A174683
80249,ADMIN,8-70/71 COMP,SPAY / NEUTER - COMP,A174682
80249,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174682
80249,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174683
80249,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174682
80249,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174683
80249,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174683
80249,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174682
80014,CITATION,8-51,ATTACK/ BITE,A174690
80239,CITATION,8-16,LEASH LAW,A174691
80239,CITATION,8-51,ATTACK/ BITE,A174691
80231,CITATION,8-16,LEASH LAW,A174428
80231,CITATION,8-51,ATTACK/ BITE,A174428
80231,CITATION,8-131,CRUELTY,A174428
80204,CITATION,8-16,LEASH LAW,A078259
80204,CITATION,8-51,ATTACK/ BITE,A078259
80219,CITATION,8-16,LEASH LAW,A174028
80219,CITATION,8-51,ATTACK/ BITE,A174028
80219,CITATION,8-51,ATTACK/ BITE,A100199
80220,CITATION,8-16,LEASH LAW,A174283
80220,CITATION,8-51,ATTACK/ BITE,A174283
80220,CITATION,8-16,LEASH LAW,A174692
80220,CITATION,8-51,ATTACK/ BITE,A174692
80220,CITATION,8-46,BARKING DOG,A166320
80220,CITATION,8-46,BARKING DOG,A166321
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174790
80219,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174790
80219,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174790
80219,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174790
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174791
80219,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174791
80219,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174791
80219,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174791
80465,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174273
80465,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174794
80219,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A174797
80219,ADMIN,8-70/71 COMP,SPAY / NEUTER - COMP,A174797
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A055266
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A153604
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174799
80219,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A153604
80219,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A153604
80219,ADMIN,8-70/71 (1ST),SPAY / NEUTER - 1ST,A153604
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174801
80219,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174801
80219,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174801
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174334
80219,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174334
80219,ADMIN,8-61 (1ST),LICENSE REQ - 1ST,A174334
80219,ADMIN,8-32 COMP,FAILURE TO VAC -COMP,A174334
80219,ADMIN,8-61 COMP,LICENSE REQ - COMP,A174334
80219,ADMIN,8-16 (1ST),LEASH LAW - 1ST,A174806
80219,ADMIN,8-32 (1ST),FAILURE TO VAC - 1ST,A174806
